flight_id,drone,rate,drone_cond,mode,preset,obs_sigma,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,no_thr,1.0,4,2609,26.08,2.224,35.205,0.1713
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,no_thr,1.0,5,2488,24.87,5.29,60.704,0.2814
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,no_thr,1.5,3,2523,25.22,3.524,27.051,0.1633
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,no_thr,1.5,4,2609,26.08,2.436,16.676,0.1046
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,no_thr,1.5,5,2488,24.87,2.762,34.349,0.1588
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R,1.0,3,2523,25.22,59.859,128.545,0.7103
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R,1.0,4,2609,26.08,72.192,136.581,0.8045
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R,1.0,5,2488,24.87,57.646,146.103,0.8023
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R,1.5,3,2523,25.22,44.541,124.707,0.6401
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R,1.5,4,2609,26.08,47.892,113.612,0.7374
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R,1.5,5,2488,24.87,40.503,109.788,0.6712
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Y+P+2R,1.0,3,2523,25.22,10.258,98.228,0.4344
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Y+P+2R,1.0,4,2609,26.08,3.212,93.664,0.3258
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Y+P+2R,1.0,5,2488,24.87,8.554,58.752,0.3838
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Y+P+2R,1.5,3,2523,25.22,6.24,69.536,0.3516
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Y+P+2R,1.5,4,2609,26.08,1.503,9.737,0.0617
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Y+P+2R,1.5,5,2488,24.87,2.739,26.704,0.1431
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,R+Y_only,1.0,3,2523,25.22,3.741,120.912,0.3159
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,R+Y_only,1.0,4,2609,26.08,2.009,23.443,0.1349
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,R+Y_only,1.0,5,2488,24.87,3.06,43.087,0.215
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,R+Y_only,1.5,3,2523,25.22,2.43,15.602,0.1106
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,R+Y_only,1.5,4,2609,26.08,1.467,6.531,0.0211
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,R+Y_only,1.5,5,2488,24.87,1.93,14.09,0.0808
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+P+R,1.0,3,2523,25.22,9.617,115.647,0.453
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+P+R,1.0,4,2609,26.08,11.641,95.362,0.4454
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+P+R,1.0,5,2488,24.87,16.671,92.74,0.5185
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+P+R,1.5,3,2523,25.22,8.901,107.842,0.4217
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+P+R,1.5,4,2609,26.08,8.456,68.546,0.3741
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+P+R,1.5,5,2488,24.87,3.757,31.039,0.2026
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R+Y,1.0,3,2523,25.22,9.137,114.331,0.4483
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R+Y,1.0,4,2609,26.08,3.302,43.45,0.238
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R+Y,1.0,5,2488,24.87,2.807,55.416,0.2874
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R+Y,1.5,3,2523,25.22,3.105,65.072,0.2311
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R+Y,1.5,4,2609,26.08,2.188,26.972,0.1227
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R+Y,1.5,5,2488,24.87,1.998,7.219,0.0297
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,soft_thr,1.0,3,2523,25.22,2.867,64.952,0.22
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,soft_thr,1.0,4,2609,26.08,1.431,11.079,0.0671
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,soft_thr,1.0,5,2488,24.87,2.464,14.155,0.0852
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,soft_thr,1.5,3,2523,25.22,2.453,17.139,0.1078
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,soft_thr,1.5,4,2609,26.08,1.412,6.111,0.0211
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,soft_thr,1.5,5,2488,24.87,1.934,12.961,0.0796
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,angular_scaled,1.0,3,2523,25.22,15.792,107.198,0.5085
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,angular_scaled,1.0,4,2609,26.08,2.29,15.264,0.1004
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,angular_scaled,1.0,5,2488,24.87,2.841,21.69,0.1427
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,angular_scaled,1.5,3,2523,25.22,2.614,14.194,0.0844
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,angular_scaled,1.5,4,2609,26.08,1.648,11.097,0.023
