ref_name,ref_variant,ref_pilot,flight_id,preset,sigma,seq,gate_id,s_gate_m,s_est_m,gate_err_m
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,32,9,81.1273760705135,66.75495473195795,14.372421338555554
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,33,10,87.0158040302251,90.33688151704321,3.321077486818112
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,34,11,94.47179284508466,95.17982926153707,0.7080364164524013
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,35,0,100.73933871666817,98.83500570885151,1.9043330078166605
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,38,1,5.546193004467491,0.12302621041472636,5.423166794052765
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,39,2,30.601148194834188,10.613388336060872,19.987759858773316
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,40,3,35.46557956935326,17.770271225121444,17.695308344231815
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,41,4,47.388526892541385,30.66527421065724,16.723252681884144
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,42,5,54.841336256981506,34.31750602544309,20.52383023153842
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,15,2,30.601148194834188,37.24798817306478,6.646839978230595
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,16,3,35.46557956935326,38.38305024111171,2.9174706717584513
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,17,4,47.388526892541385,39.19375865166828,8.194768240873103
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,18,5,54.841336256981506,22.44042806117749,32.40090819580402
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,19,6,66.90792826194613,5.705230814084198,41.307171249765396
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,20,7,72.15013573120596,14.979342581423762,45.33907554784513
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,21,8,75.91000564377816,66.48294075524255,9.427064888535611
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,22,9,81.1273760705135,84.04799229976271,2.9206162292492053
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,23,10,87.0158040302251,0.329508617689823,15.823573285092053
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,24,11,94.47179284508466,5.844440381724454,13.882516234267115
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,25,0,100.73933871666817,5.7643570608601005,7.53488704181926
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,28,1,5.546193004467491,11.948599004774707,6.402406000307216
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,29,2,30.601148194834188,14.06163041648318,16.53951777835101
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,30,3,35.46557956935326,13.876755930675701,21.58882363867756
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,31,4,47.388526892541385,20.315360852062422,27.073166040478963
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,32,5,54.841336256981506,90.84370787027788,36.002371613296376
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,33,6,66.90792826194613,72.81339541983307,5.905467157886946
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,34,7,72.15013573120596,12.088086437053157,42.44781940347452
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,35,8,75.91000564377816,40.11573641877342,35.79426922500474
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,36,9,81.1273760705135,100.82547661448463,19.698100543971123
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,37,10,87.0158040302251,3.2752330418783964,18.76929770928062
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,38,11,94.47179284508466,10.225532762867113,18.26360861540978
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,39,0,100.73933871666817,10.59688758214485,12.367417563103999
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,42,1,5.546193004467491,12.902801239322516,7.356608234855025
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,43,2,30.601148194834188,22.80991466127892,7.791233533555268
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,2.0,44,3,35.46557956935326,29.817593946899404,5.647985622453856
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,15,2,30.601148194834188,37.54778523989697,6.946637045062779
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,16,3,35.46557956935326,39.29281284133565,3.8272332719823936
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,17,4,47.388526892541385,40.320026084561896,7.06850080797949
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,18,5,54.841336256981506,41.410291643291394,13.431044613690112
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,19,6,66.90792826194613,46.380715928875915,20.52721233307021
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,20,7,72.15013573120596,21.151560119907003,50.99857561129896
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,21,8,75.91000564377816,38.987351957531146,36.92265368624702
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,22,9,81.1273760705135,60.382728352538635,20.74464771797487
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,23,10,87.0158040302251,6.750221959229011,22.244286626631236
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,24,11,94.47179284508466,5.800229622524202,13.83830547506686
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,25,0,100.73933871666817,6.7250598254620115,8.495589806421165
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,28,1,5.546193004467491,10.347370634998237,4.801177630530746
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,29,2,30.601148194834188,14.05114474760206,16.55000344723213
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,30,3,35.46557956935326,14.203852211456592,21.261727357896667
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,31,4,47.388526892541385,17.927271093487338,29.461255799054047
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,32,5,54.841336256981506,40.0647528428134,14.776583414168108
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,33,6,66.90792826194613,64.62026985913757,2.2876584028085603
Grom_4,sim,Gromozeka,RedSeep-S008,baseline,4.0,34,7,72.15013573120596,6.351313084240172,36.71104605066154
