ref_source,ref_drone,flight_id,test_drone,drone_cond,lap_selection,n_laps,smooth_w,test_lap,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,9,4,2597,26.059934854507446,1.7053514532996843,5.820032855275668,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,9,5,2477,24.85981011390686,1.9290074020013606,8.012741299973717,0.025433992733144933
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,15,3,2509,25.217001914978027,2.185274232053594,8.87234668893949,0.012355520127540853
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,15,4,2597,26.059934854507446,1.90601831917607,5.919022088390455,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,15,5,2477,24.85981011390686,2.189635169845303,7.825798014382758,0.010900282599919257
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,1,3,2509,25.217001914978027,1.554430371008332,8.596420684299385,0.02630530091669988
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,1,4,2597,26.059934854507446,1.330680368065039,3.8783397663679953,0.010011551790527531
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,1,5,2477,24.85981011390686,1.8363928311974043,6.546680441876591,0.004037141703673799
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,3,3,2509,25.217001914978027,1.6261186408328285,8.282901650770745,0.03029095257074532
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,3,4,2597,26.059934854507446,1.3477385222330156,4.67894633194667,0.015017327685791297
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,3,5,2477,24.85981011390686,1.815070711610403,6.4426439336751375,0.012111425111021397
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,5,3,2509,25.217001914978027,1.768031268183151,7.473704706005791,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,5,4,2597,26.059934854507446,1.3788196824452967,5.29157116309259,0.016942626107046593
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,5,5,2477,24.85981011390686,1.8616984702445762,6.957826323432232,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,9,3,2509,25.217001914978027,1.6594909428788753,7.803091573502601,0.00438421681944998
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,9,4,2597,26.059934854507446,1.5259076998571004,5.533075441712685,0.010011551790527531
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,9,5,2477,24.85981011390686,1.9182742965910933,6.632158711833626,0.0
