condition,test_session,sigma_cam,T_update,seed,test_lap_relative,lap_index_abs,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
same_drone,MT_s004,1.0,0.5,4,3,3,2665,26.740379095077515,0.969708549142581,2.4854861260431163,0.0
same_drone,MT_s004,1.0,0.5,4,4,4,2618,26.25896406173706,0.8743579320927211,2.4048942538720843,0.0
same_drone,MT_s004,1.0,0.5,4,5,5,2530,25.401978969573975,0.930074941667673,2.8349764247382403,0.0015810276679841897
same_drone,MT_s004,1.0,0.5,4,6,6,2525,25.403844833374023,0.9677913990175853,3.1243797452022135,0.006336633663366337
same_drone,MT_s004,1.0,0.5,4,7,7,2722,27.329137802124023,0.9715988018053281,5.397639212474825,0.026818515797207936
same_drone,MT_s004,1.0,0.5,4,8,8,2312,23.212925910949707,0.8431754499721791,2.3769593225349297,0.0
same_drone,MT_s004,1.0,0.5,4,9,9,2312,23.21662998199463,0.8364048753647424,2.2724364198012186,0.003027681660899654
same_drone,MT_s004,1.0,0.5,4,10,10,2346,23.52618908882141,1.0494485693499627,3.0341514334836504,0.013640238704177323
same_drone,MT_s004,1.0,0.5,4,11,11,2666,26.786911964416504,0.9288863189138326,6.066410899933729,0.023630907726931733
same_drone,MT_s004,1.0,0.5,4,12,12,2344,23.593735933303833,1.0228416390926043,3.2173707621294714,0.0
same_drone,MT_s004,1.0,0.5,4,13,13,2307,23.15007710456848,1.0513278963577477,3.1189511270401518,0.0
same_drone,MT_s004,1.0,0.5,4,14,14,2625,26.3830509185791,0.9593019462957955,2.9780664742702356,0.0
same_drone,MT_s004,1.0,0.5,4,15,15,2334,23.44292402267456,0.8998102464458668,3.109665917298614,0.005998286203941731
same_drone,MT_s004,1.0,1.0,0,1,1,2472,24.886879920959473,1.1937954690719152,4.726220791494041,0.0
same_drone,MT_s004,1.0,1.0,0,2,2,2524,25.33614683151245,1.3126250462531193,4.43727797267515,0.0019809825673534074
same_drone,MT_s004,1.0,1.0,0,3,3,2665,26.740379095077515,1.323124709711692,3.788994589002499,0.0
same_drone,MT_s004,1.0,1.0,0,4,4,2618,26.25896406173706,1.1131977712428238,3.5684139928094702,0.0
same_drone,MT_s004,1.0,1.0,0,5,5,2530,25.401978969573975,1.0127506445055872,2.993249600559291,0.0
same_drone,MT_s004,1.0,1.0,0,6,6,2525,25.403844833374023,1.1453969032454552,3.827807985699314,0.0019801980198019802
same_drone,MT_s004,1.0,1.0,0,7,7,2722,27.329137802124023,1.5055321919110156,7.196634389801456,0.0683321087435709
same_drone,MT_s004,1.0,1.0,0,8,8,2312,23.212925910949707,1.0497533648690407,3.4802872314763906,0.0
same_drone,MT_s004,1.0,1.0,0,9,9,2312,23.21662998199463,1.0625541147617668,3.636524838454742,0.0
same_drone,MT_s004,1.0,1.0,0,10,10,2346,23.52618908882141,1.3345860538334904,4.244619588745017,0.013640238704177323
same_drone,MT_s004,1.0,1.0,0,11,11,2666,26.786911964416504,1.4393061696688747,7.7618636361474955,0.05888972243060765
same_drone,MT_s004,1.0,1.0,0,12,12,2344,23.593735933303833,1.2229875308246314,4.181176224705823,0.00938566552901024
same_drone,MT_s004,1.0,1.0,0,13,13,2307,23.15007710456848,1.2540541739425777,3.9917590925774107,0.0008669267446900737
same_drone,MT_s004,1.0,1.0,0,14,14,2625,26.3830509185791,1.2563186745765336,3.7907505001560593,0.001142857142857143
same_drone,MT_s004,1.0,1.0,0,15,15,2334,23.44292402267456,0.932784370561329,4.1943060372799374,0.02099400171379606
same_drone,MT_s004,1.0,1.0,1,1,1,2472,24.886879920959473,1.438359344787397,4.5742643896504305,0.0
same_drone,MT_s004,1.0,1.0,1,2,2,2524,25.33614683151245,1.1362458607580024,4.357388613395379,0.006735340729001585
same_drone,MT_s004,1.0,1.0,1,3,3,2665,26.740379095077515,1.1721258567813209,3.35905965773702,0.0
same_drone,MT_s004,1.0,1.0,1,4,4,2618,26.25896406173706,1.1259743044388024,3.8821955030569013,0.0
same_drone,MT_s004,1.0,1.0,1,5,5,2530,25.401978969573975,1.1188530314990146,3.54240219413336,0.0
same_drone,MT_s004,1.0,1.0,1,6,6,2525,25.403844833374023,1.2145265434403285,3.7116899574242788,0.0031683168316831685
same_drone,MT_s004,1.0,1.0,1,7,7,2722,27.329137802124023,1.3178926768137202,7.590889506716133,0.07200587803085966
same_drone,MT_s004,1.0,1.0,1,8,8,2312,23.212925910949707,1.0191056392255504,3.9742808698003507,0.0
same_drone,MT_s004,1.0,1.0,1,9,9,2312,23.21662998199463,1.1305722647924341,3.209629777261657,0.0
same_drone,MT_s004,1.0,1.0,1,10,10,2346,23.52618908882141,1.3575840198041709,4.412053050027062,0.013640238704177323
same_drone,MT_s004,1.0,1.0,1,11,11,2666,26.786911964416504,1.6250101646243422,7.969004695849314,0.05701425356339085
same_drone,MT_s004,1.0,1.0,1,12,12,2344,23.593735933303833,1.4063769869003266,5.677001559010247,0.023890784982935155
same_drone,MT_s004,1.0,1.0,1,13,13,2307,23.15007710456848,1.2320540204561965,3.4857477111134503,0.0039011703511053317
same_drone,MT_s004,1.0,1.0,1,14,14,2625,26.3830509185791,1.3756999049541037,6.845380809830043,0.0
same_drone,MT_s004,1.0,1.0,1,15,15,2334,23.44292402267456,1.0286966607625914,4.191262494835497,0.012853470437017995
same_drone,MT_s004,1.0,1.0,2,1,1,2472,24.886879920959473,1.2030666595671704,5.296337941528716,0.0
same_drone,MT_s004,1.0,1.0,2,2,2,2524,25.33614683151245,1.2015362181383011,3.901039579255463,0.0
